Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2019-05-16 22:57:11;2019-05-17 06:54:11;100%;97%;;0;0;Normal;100.3;;47.9;28619.5;24612.8;2671.2;2019-05-17 06:40:00;2019-05-17 06:55:00;true;4046.0;32.0;No weather;
2019-05-19 23:10:30;2019-05-20 06:42:52;93%;97%;;0;0;Normal;100.5;;54.7;27142.0;20628.0;4071.3;2019-05-20 06:40:00;2019-05-20 06:55:00;true;1134.0;32.0;No weather;
2019-05-20 22:41:17;2019-05-21 06:25:59;93%;94%;;0;0;Normal;99.9;;61.5;27882.5;23978.9;2416.5;2019-05-21 06:25:00;2019-05-21 06:40:00;true;4027.0;32.0;No weather;
2019-05-21 22:55:36;2019-05-22 06:39:46;92%;95%;;0;0;Normal;101.1;;63.6;27850.4;24508.4;2599.4;2019-05-22 06:30:00;2019-05-22 06:45:00;true;1129.0;32.0;No weather;
2019-05-22 23:21:24;2019-05-23 06:42:15;91%;95%;;0;0;Normal;101.4;;50.7;26451.6;24070.9;2380.6;2019-05-23 06:30:00;2019-05-23 06:45:00;true;1464.0;32.0;No weather;
2019-05-23 23:26:21;2019-05-24 06:42:34;91%;97%;;0;0;Normal;100.1;;45.2;26173.5;23207.1;1832.1;2019-05-24 06:40:00;2019-05-24 06:55:00;true;2951.0;32.0;No weather;
2019-05-27 22:57:13;2019-05-28 06:38:23;94%;0%;;0;0;Normal;100.4;;50.4;27670.3;23519.7;4150.5;2019-05-28 06:35:00;2019-05-28 06:50:00;true;2109.0;32.0;No weather;
2019-05-28 23:08:01;2019-05-29 06:37:06;90%;98%;;0;0;Normal;99.6;;52.5;26944.1;22722.8;538.9;2019-05-29 06:35:00;2019-05-29 06:50:00;true;4616.0;32.0;No weather;
2019-05-29 22:54:55;2019-05-30 06:36:55;95%;98%;;0;0;Normal;99.9;;43.3;27720.7;22638.6;3418.9;2019-05-30 06:35:00;2019-05-30 06:50:00;true;2983.0;32.0;No weather;
2019-05-30 23:28:28;2019-05-31 06:34:03;86%;97%;;0;0;Normal;99.7;;49.4;25534.9;23747.5;510.7;2019-05-31 06:35:00;2019-05-31 06:50:00;false;0.0;32.0;No weather;
2019-06-02 23:09:20;2019-06-03 05:26:15;72%;88%;;0;0;Normal;99.9;;65.1;22615.4;17640.0;4146.2;2019-06-03 06:35:00;2019-06-03 06:50:00;true;2107.0;32.0;No weather;
2019-06-03 05:26:25;2019-06-03 06:54:32;19%;0%;;0;0;Normal;100.2;;0.0;5286.6;5180.8;105.7;2019-06-03 06:40:00;2019-06-03 06:55:00;true;0.0;32.0;No weather;
2019-06-03 23:04:50;2019-06-04 06:46:36;95%;88%;;0;0;Normal;100.8;;41.9;27705.6;23272.7;3232.3;2019-06-04 06:40:00;2019-06-04 06:55:00;true;1051.0;32.0;No weather;
2019-06-04 23:24:33;2019-06-05 06:53:18;89%;92%;;0;0;Normal;100.7;;53.0;26924.9;23604.2;1705.2;2019-06-05 06:40:00;2019-06-05 06:55:00;true;1730.0;32.0;No weather;
2019-06-05 23:00:33;2019-06-06 06:42:52;88%;93%;;0;0;Normal;99.8;;62.8;27739.1;22098.8;1756.8;2019-06-06 06:40:00;2019-06-06 06:55:00;true;1433.0;32.0;No weather;
2019-06-06 23:34:10;2019-06-07 06:55:22;88%;95%;;0;0;Normal;100.2;;49.0;26471.3;23471.2;1147.1;2019-06-07 06:40:00;2019-06-07 06:55:00;true;3618.0;32.0;No weather;
2019-06-08 00:49:18;2019-06-08 07:10:25;74%;92%;;0;0;Normal;101.4;;55.2;22866.6;18903.1;1981.8;2019-06-08 07:15:00;2019-06-08 07:30:00;true;2861.0;32.0;No weather;
2019-06-08 07:10:33;2019-06-08 08:04:07;11%;42%;;0;0;Normal;101.7;;0.0;3213.7;3149.4;64.3;2019-06-08 08:15:00;2019-06-08 08:30:00;true;0.0;32.0;No weather;
2019-06-17 22:34:16;2019-06-18 06:23:26;86%;0%;;0;0;Normal;100.7;;71.8;28150.6;23365.0;1782.9;2019-06-18 06:15:00;2019-06-18 06:30:00;true;3152.0;32.0;No weather;
2019-06-18 22:19:19;2019-06-19 06:21:12;88%;98%;;0;0;Normal;100.4;;74.0;28913.8;25058.6;2409.5;2019-06-19 06:15:00;2019-06-19 06:30:00;true;4084.0;32.0;No weather;
2019-06-19 22:46:52;2019-06-20 06:38:06;94%;96%;;0;0;Normal;99.9;;45.6;28274.6;23562.1;2167.7;2019-06-20 06:25:00;2019-06-20 06:40:00;true;1396.0;32.0;No weather;
2019-06-20 22:13:28;2019-06-21 06:34:01;87%;95%;;0;0;Normal;99.6;;85.7;30032.3;27829.9;2202.4;2019-06-21 06:20:00;2019-06-21 06:35:00;true;805.0;32.0;No weather;
2019-06-23 22:35:23;2019-06-24 06:25:11;82%;96%;;0;0;Normal;100.4;;83.9;28187.6;24993.0;2630.8;2019-06-24 06:20:00;2019-06-24 06:35:00;true;1342.0;32.0;No weather;
2019-06-24 22:48:04;2019-06-25 06:39:13;94%;96%;;0;0;Normal;100.1;;44.9;28269.4;24877.1;1884.6;2019-06-25 06:25:00;2019-06-25 06:40:00;true;2692.0;32.0;No weather;
2019-06-25 22:42:22;2019-06-26 06:34:07;82%;97%;;0;0;Normal;100.3;;85.9;28305.2;23493.3;3962.7;2019-06-26 06:25:00;2019-06-26 06:40:00;true;1968.0;32.0;No weather;
2019-06-26 23:09:27;2019-06-27 06:30:44;87%;97%;;0;0;Normal;100.9;;50.2;26476.5;23299.3;1676.8;2019-06-27 06:25:00;2019-06-27 06:40:00;true;748.0;32.0;No weather;
2019-06-27 23:34:56;2019-06-28 06:50:19;69%;96%;;0;0;Normal;101.8;;106.2;26123.0;21420.8;1654.5;2019-06-28 06:35:00;2019-06-28 06:50:00;true;3340.0;32.0;No weather;
2019-06-30 21:54:50;2019-07-01 06:44:07;85%;85%;;0;0;Normal;100.3;;103.0;31757.2;25617.5;6139.7;2019-07-01 06:35:00;2019-07-01 06:50:00;true;371.0;32.0;No weather;
2019-07-01 23:28:58;2019-07-02 06:47:12;80%;86%;;0;0;Normal;101.0;;70.8;26293.9;21035.1;1577.6;2019-07-02 06:35:00;2019-07-02 06:50:00;true;1904.0;32.0;No weather;
2019-07-02 22:53:33;2019-07-03 06:21:33;79%;89%;;0;0;Normal;100.0;;80.7;26880.4;24371.5;1344.0;2019-07-03 06:35:00;2019-07-03 06:50:00;false;0.0;32.0;No weather;
2019-07-07 22:56:31;2019-07-08 06:37:26;83%;0%;;0;0;Normal;100.6;;74.9;27654.6;25073.5;1751.5;2019-07-08 06:35:00;2019-07-08 06:50:00;true;3827.0;32.0;No weather;
2019-07-08 23:23:25;2019-07-09 06:54:04;90%;94%;;0;0;Normal;100.8;;44.1;27039.2;21901.8;2613.8;2019-07-09 06:40:00;2019-07-09 06:55:00;true;3747.0;32.0;No weather;
2019-07-09 22:42:39;2019-07-10 06:42:29;81%;93%;;0;0;Normal;100.9;;91.3;28790.0;24855.4;2687.1;2019-07-10 06:40:00;2019-07-10 06:55:00;true;395.0;32.0;No weather;
2019-07-10 23:06:49;2019-07-11 06:56:16;91%;94%;;0;0;Normal;100.6;;53.8;28166.4;24504.7;2722.7;2019-07-11 06:40:00;2019-07-11 06:55:00;true;1114.0;32.0;No weather;
